Date,Close,Volume,20ma,50ma,200ma,cross,triple cross,Upper_BB,Lower_BB,Distance_from_Middle,Above_upperbb,Below_lowerbb,RSI_14d,RSI_21d,RSI_Above_70,RSI_Below_30,MACD_cross_above,MACD_cross_below,1m_return_diff_QQQ_IWM,1m_return_diff_QQQ_DIA,high_volumn,Consecutive_Up_Days,Consecutive_Down_Days,Future1M_movement_direction,Future2M_movement_direction,Future15d_movement_direction
2015-02-02,101.9800033569336,43624700,101.84000053405762,101.8923815772647,101.8923815772647,No Cross,No Cross,104.38334332125072,99.29665774686453,0.11009355371281411,0,0,51.7213765148059,47.64012247529736,0,0,0,0,,,1,1,0,1,1,1
2015-02-03,102.95999908447266,30750400,101.91650047302247,101.94090964577414,101.94090964577414,No Cross,No Cross,104.49964691362385,99.33335403242108,0.8079283427750629,0,0,55.357150966616864,50.04689640957084,0,0,1,0,,,0,2,0,1,1,1
2015-02-04,102.87000274658205,34073200,102.05650062561035,101.98130499798319,101.98130499798319,No Cross,No Cross,104.51896267519723,99.59403857602348,0.6607225651320576,0,0,57.36315914550795,53.61809492189272,0,0,0,0,,,0,0,1,1,1,1
2015-02-05,103.76000213623048,23605500,102.1765007019043,102.05541737874348,102.05541737874348,No Cross,No Cross,104.72834097289481,99.62466043091379,1.2410662629064428,0,0,66.37450044195774,59.49562772653566,0,0,0,0,,,0,1,0,1,1,1
2015-02-06,103.12999725341795,34169300,102.16800041198731,102.09840057373047,102.09840057373047,No Cross,No Cross,104.70517350510663,99.63082731886799,0.7583218062965685,0,0,59.616967861281005,54.71495876593298,0,0,0,0,,,0,0,1,1,1,1
2015-02-09,102.8000030517578,22604700,102.1770004272461,102.12538528442383,102.12538528442383,No Cross,No Cross,104.72218890819292,99.63181194629928,0.489553232835582,0,0,55.11265256308618,48.54312385403495,0,0,0,0,,,0,0,2,1,1,1
2015-02-10,104.4000015258789,23686500,102.31950035095215,102.20963033040364,102.20963033040364,No Cross,No Cross,105.03060459392904,99.60839610797527,1.534799836868162,0,0,58.95404771937374,54.922562497309826,0,0,0,0,,,0,1,0,1,1,1
2015-02-11,104.77999877929688,20303600,102.48250045776368,102.30142920357841,102.30142920357841,No Cross,No Cross,105.3770097850724,99.58799113045495,1.587487246876053,0,0,53.375337348322,59.286934562694,0,0,0,0,,,0,2,0,1,1,1
2015-02-12,106.0,22520300,102.73450050354003,102.42896612759294,102.42896612759294,No Cross,No Cross,105.93256199876691,99.53643900831315,2.0421742992332925,1,0,57.19007472393877,62.05598696186162,0,0,0,0,,,0,3,0,-1,1,1
2015-02-13,106.91000366210938,29030200,103.09750061035156,102.57833404541016,102.57833404541016,No Cross,No Cross,106.4650359713999,99.72996524930322,2.264269053181349,1,0,60.744780464014,65.71580687193618,0,0,0,0,,,0,4,0,-1,1,1
2015-02-17,107.01000213623048,17675300,103.40700073242188,102.72129108059791,102.72129108059791,No Cross,No Cross,107.02191864504081,99.79208281980294,1.993407037670904,0,0,77.06510786806278,70.76749464822981,1,0,0,0,1.448080657622941,2.4757300565072526,0,5,0,-1,1,-1
2015-02-18,107.16000366210938,15149600,103.68400077819824,102.86000084877014,102.86000084877014,No Cross,No Cross,107.56182812371472,99.80617343268176,1.7927579410826888,0,0,81.4516463959563,68.98204260307557,0,0,0,0,1.6437612390956868,2.429129704025601,0,6,0,-1,1,-1
2015-02-19,107.69000244140624,19828100,103.96150093078613,103.00636453339548,103.00636453339548,No Cross,No Cross,108.15553982631702,99.76746203525524,1.7780004446754867,0,0,80.59074718203185,68.4723054841089,0,0,0,0,1.7695544383066641,3.7505529005778637,0,7,0,-1,1,-1
