Date,Open,High,Low,Close,Adj Close,Volume,Close_SPY,Close_DIA,Close_IWM,QQQ 1d movement,SPY 1d movement,DIA 1d movement,IWM 1d movement,9ma,20ma,50ma,100ma,200ma,cross,triple cross,Middle_BB,Upper_BB,Lower_BB,Distance_from_Middle,Above_upperbb,Below_lowerbb,RSI_14d,RSI_21d,RSI_Above_70,RSI_Below_30,MACD,Signal_Line,MACD_cross_above,MACD_cross_below,1m_return_diff_QQQ_IWM,1m_return_diff_QQQ_DIA,Future1M_movement_direction,Future2M_movement_direction,Future15d_movement_direction,Future1M_movement,Future2M_movement,Future15d_movement
2015-01-16,99.5199966430664,100.9499969482422,99.36000061035156,100.81999969482422,93.85765075683594,35362200,201.6300048828125,174.6699981689453,116.6999969482422,0.011741075273756785,0.013114262658634468,0.009303135519844519,0.016284900177383932,101.31666734483507,101.47454625909978,101.47454625909978,101.47454625909978,101.47454625909978,No Cross,No Cross,,,,,0,0,,,0,0,-0.5526663496776933,-0.35241851651015943,0,0,,,1,1,1,7.984529930692985,6.962900877123079,1.9638993879457667
2015-01-20,101.43000030517578,101.87999725341795,100.29000091552734,101.62000274658205,94.60240936279295,30964100,202.05999755859372,174.89999389648438,116.20999908447266,0.007934963838319709,0.0021325827772069594,0.0013167443175707838,-0.0041987821472425635,101.4888899061415,101.48666763305664,101.48666763305664,101.48666763305664,101.48666763305664,No Cross,No Cross,,,,,0,0,,,0,0,-0.5006630525441835,-0.3820674237169643,0,0,,,1,1,1,6.7211120026169135,5.973233153674906,2.735680677188679
2015-01-21,101.31999969482422,102.62000274658205,100.95999908447266,102.13999938964844,95.08651733398438,40128800,203.0800018310547,175.35000610351562,115.83999633789062,0.0051170697600073645,0.005048026748417644,0.0025729686834499166,-0.003183914891119466,101.57555643717448,101.53692392202524,101.53692392202524,101.53692392202524,101.53692392202524,No Cross,No Cross,,,,,0,0,,,0,0,-0.41273295303491864,-0.3882005295805552,0,0,,,1,1,1,6.363814410457835,3.7889198841861926,2.5846871014530315
2015-01-22,102.54000091552734,104.13999938964844,101.63999938964844,104.02999877929688,96.84603118896484,40887200,206.1000061035156,177.9199981689453,118.1999969482422,0.018504008233232616,0.014871007707461414,0.01465635572269397,0.020372934089774697,101.6566670735677,101.71500069754464,101.71500069754464,101.71500069754464,101.71500069754464,No Cross,No Cross,,,,,0,0,53.857027463651114,,0,0,-0.18836915791428055,-0.34823425524730023,1,0,,,1,1,1,3.2490675021378257,3.4317021404547843,1.893685709717774
2015-01-23,104.0199966430664,104.58000183105467,103.72000122070312,104.26000213623048,97.0601043701172,34783000,204.97000122070312,176.41000366210938,118.12000274658205,0.002210932996563608,-0.005482798880873996,-0.008486929644649144,-0.0006767699130751925,101.83888922797308,101.8846674601237,101.8846674601237,101.8846674601237,101.8846674601237,No Cross,No Cross,,,,,0,0,54.59609657872867,,0,0,0.007908945458879657,-0.27700561510606425,0,0,,,1,1,1,3.3186255645301754,3.644729852775219,2.541724027989467
2015-01-26,104.13999938964844,104.33000183105467,103.61000061035156,104.13999938964844,96.94840240478516,19960900,205.4499969482422,176.5,119.26000213623048,-0.0011509950520166568,0.0023417852596987476,0.0005101543904675321,0.009651196775657178,102.12666659884982,102.025625705719,102.025625705719,102.025625705719,102.025625705719,No Cross,No Cross,,,,,0,0,60.4471751553672,,0,0,0.15202508717248975,-0.19119947465035347,0,0,,,1,1,1,1.5171901673851407,4.33071073810547,2.7559081653570017
2015-01-27,102.5,102.55999755859376,101.0999984741211,101.44000244140624,94.43487548828124,45253200,202.7400054931641,173.58999633789062,118.69000244140624,-0.025926608066703882,-0.013190515917898993,-0.01648727287314089,-0.004779470774896821,102.11777835422092,101.99117727840648,101.99117727840648,101.99117727840648,101.99117727840648,No Cross,No Cross,,,,,0,0,54.78687019530918,,0,0,0.04781974264763278,-0.14339563119075624,0,0,,,1,1,1,3.617900316066325,7.511824658707988,5.638802329492387
2015-01-28,103.06999969482422,103.18000030517578,100.9000015258789,100.91999816894533,93.95075225830078,43591700,200.13999938964844,171.72000122070312,116.69000244140624,-0.005126224960032677,-0.01282433675184702,-0.010772482036047637,-0.016850618913647253,102.11333380805121,101.93166732788086,101.93166732788086,101.93166732788086,101.93166732788086,No Cross,No Cross,,,,,0,0,48.37517664798204,,0,0,-0.07584939793308365,-0.12988638453922172,0,0,,,1,1,1,4.8355182038777755,9.532305708604593,6.708288144365171
2015-01-29,100.83999633789062,102.08000183105467,99.95999908447266,101.88999938964844,94.853759765625,46539700,201.9900054931641,173.89999389648438,118.3000030517578,0.009611585793722233,0.009243560053749711,0.01269504227978313,0.013797245493760268,102.36222245958116,101.92947427850021,101.92947427850021,101.92947427850021,101.92947427850021,No Cross,No Cross,,,,,0,0,44.39139681568564,,0,0,-0.09449777938117165,-0.12280866350761172,0,0,,,1,1,1,3.3860015398063714,8.214744132614449,6.399062038980974
2015-01-30,101.8000030517578,102.58000183105467,100.95999908447266,101.0999984741211,94.11833190917967,42927600,199.4499969482422,171.4499969482422,115.6999969482422,-0.007753468645202544,-0.012574921906261638,-0.01408853958730194,-0.021978073004597087,102.3933334350586,101.88800048828125,101.88800048828125,101.88800048828125,101.88800048828125,No Cross,No Cross,101.88800048828125,104.47827127380855,99.29772970275395,-0.6084321520074157,0,0,44.00629605161025,,0,0,-0.17105145292950397,-0.13245722139199018,0,1,,,1,1,1,5.539068801820557,8.842732518630703,7.339266351071849
2015-02-02,101.33000183105467,102.06999969482422,99.75,101.9800033569336,94.93757629394533,43624700,201.9199981689453,173.27000427246094,116.76000213623048,0.008704301642870504,0.012384062464258161,0.010615382657418015,0.009161669973617004,102.43333350287543,101.84000053405762,101.8923815772647,101.8923815772647,101.8923815772647,No Cross,No Cross,101.84000053405762,104.38334332125072,99.29665774686453,0.11009355371281411,0,0,51.7213765148059,47.64012247529736,0,0,-0.15888027827229223,-0.1377418327680506,0,0,,,1,1,1,4.795057098138433,7.226902210811126,6.491463913780504
2015-02-03,102.3499984741211,103.02999877929688,101.68000030517578,102.95999908447266,95.849853515625,30750400,204.83999633789065,176.3300018310547,118.8499984741211,0.009609685186114714,0.014461163804598387,0.01766028442973888,0.017899934049779187,102.52444458007812,101.91650047302247,101.94090964577414,101.94090964577414,101.94090964577414,No Cross,No Cross,101.91650047302247,104.49964691362385,99.33335403242108,0.8079283427750629,0,0,55.357150966616864,50.04689640957084,0,0,-0.06935755885658068,-0.12406497798575662,1,0,,,1,1,1,4.817403971034695,4.535740297660484,5.21562042961583
2015-02-04,102.54000091552734,103.5500030517578,102.30999755859376,102.87000274658205,95.76609802246094,34073200,204.05999755859372,176.52999877929688,118.41000366210938,-0.0008740903136252864,-0.003807844138067118,0.0011342196232368984,-0.0037021019575993463,102.3955561319987,102.05650062561035,101.98130499798319,101.98130499798319,101.98130499798319,No Cross,No Cross,102.05650062561035,104.51896267519723,99.59403857602348,0.6607225651320576,0,0,57.36315914550795,53.61809492189272,0,0,-0.005607471637759431,-0.10037347671615719,0,0,,,1,1,1,5.064643671982139,6.007582521797006,5.842319769001469
2015-02-05,103.12999725341795,103.83000183105467,102.87000274658205,103.76000213623048,96.59463500976562,23605500,206.1199951171875,178.5500030517578,119.94000244140624,0.00865169015151035,0.010095058234048437,0.011442838534125865,0.012921195270484187,102.34000057644315,102.1765007019043,102.05541737874348,102.05541737874348,102.05541737874348,No Cross,No Cross,102.1765007019043,104.72834097289481,99.62466043091379,1.2410662629064428,0,0,66.37450044195774,59.49562772653566,0,0,0.11540018301148791,-0.057218744770628174,0,0,,,1,1,1,4.597143932980718,5.271782101084899,4.471857453854322
2015-02-06,103.91999816894533,104.16999816894533,102.76000213623048,103.12999725341795,96.00814819335938,34169300,205.5500030517578,178.08999633789062,119.80999755859376,-0.006071750865862313,-0.0027653409612474755,-0.002576346715232769,-0.0010839159593646341,102.22777811686198,102.16800041198731,102.09840057373047,102.09840057373047,102.09840057373047,No Cross,No Cross,102.16800041198731,104.70517350510663,99.63082731886799,0.7583218062965685,0,0,59.616967861281005,54.71495876593298,0,0,0.15863484847515963,-0.014048026121470616,0,0,,,1,1,1,5.0324857748740515,4.188887627145821,6.060312388685585
2015-02-09,102.7300033569336,103.29000091552734,102.5500030517578,102.8000030517578,95.700927734375,22604700,204.6300048828125,177.08999633789062,118.86000061035156,-0.0031997887176247186,-0.004475787668627107,-0.005615138528627384,-0.007929195956936752,102.37888929578993,102.1770004272461,102.12538528442383,102.12538528442383,102.12538528442383,No Cross,No Cross,102.1770004272461,104.72218890819292,99.63181194629928,0.489553232835582,0,0,55.11265256308618,48.54312385403495,0,0,0.16437603355242913,0.021636785813309335,0,0,,,1,1,1,4.990269553625537,3.8034979733864827,5.904668788548695
2015-02-10,103.37000274658205,104.54000091552734,103.20999908447266,104.4000015258789,97.19043731689452,23686500,206.80999755859372,178.50999450683594,119.62000274658205,0.015564187029406318,0.010653338336328755,0.008018511481788781,0.006394095005282097,102.76555633544922,102.31950035095215,102.20963033040364,102.20963033040364,102.20963033040364,No Cross,No Cross,102.31950035095215,105.03060459392904,99.60839610797527,1.534799836868162,0,0,58.95404771937374,54.922562497309826,0,0,0.2946360877901242,0.0762366462086723,0,0,,,1,1,1,1.015323317146688,2.825667533645526,3.879305903419339
2015-02-11,104.5199966430664,105.0199966430664,104.31999969482422,104.77999877929688,97.54419708251952,20303600,206.92999267578125,178.6999969482422,119.4499969482422,0.0036398203818395203,0.0005802191315897876,0.0010643798512859348,-0.0014212154692890833,103.08666737874348,102.48250045776368,102.30142920357841,102.30142920357841,102.30142920357841,No Cross,No Cross,102.48250045776368,105.3770097850724,99.58799113045495,1.587487246876053,0,0,53.375337348322,59.286934562694,0,0,0.42364718083830155,0.14571875313459817,0,0,,,1,1,1,0.3054015065396598,3.731631711835748,3.683909768392035
